Time	Channel A
(us)	(V)

0.00000000	-1.49937400
0.04000000	-1.44517400
0.08000000	-1.37290600
0.12000000	-1.30063800
0.16000000	-1.21030300
0.20000000	-1.10196200
0.24000000	-0.99356060
0.28000000	-0.86709190
0.32000000	-0.74062320
0.36000000	-0.59608750
0.40000000	-0.45161290
0.44000000	-0.30707720
0.48000000	-0.16254160
0.52000000	-0.01800592
0.56000000	0.14447460
0.60000000	0.28901030
0.64000000	0.43354590
0.68000000	0.57808160
0.72000000	0.70448930
0.76000000	0.83095790
0.80000000	0.93935970
0.83999999	1.06582800
0.87999999	1.15616300
0.91999999	1.24643700
0.95999999	1.33677200
0.99999999	1.40904000
1.03999999	1.46324100
1.07999999	1.49937400
1.11999999	1.53550800
1.15999999	1.55357500
1.19999999	1.55357500
1.23999999	1.55357500
1.27999999	1.51744100
1.31999999	1.49937400
1.35999999	1.44517400
1.39999999	1.37290600
1.43999999	1.30063800
1.47999999	1.21030300
1.51999999	1.12002900
1.55999999	1.01162800
1.59999999	0.90322580
1.63999999	0.77675710
1.67999999	0.65028840
1.71999999	0.50581380
1.75999999	0.36127810
1.79999999	0.23480940
1.83999999	0.07220680
1.87999999	-0.05413984
1.91999999	-0.19867550
1.95999999	-0.34321110
1.99999999	-0.48774680
2.03999999	-0.61415450
2.07999999	-0.74062320
2.11999999	-0.86709190
2.15999999	-0.97549360
2.19999999	-1.08389500
2.23999999	-1.17416900
2.27999999	-1.26450400
2.31999999	-1.33677200
2.35999999	-1.39097300
2.39999999	-1.46324100
2.43999999	-1.48130700
2.47999998	-1.51744100
2.51999998	-1.51744100
2.55999998	-1.51744100
2.59999998	-1.49937400
2.63999998	-1.46324100
2.67999998	-1.42710600
2.71999998	-1.37290600
2.75999998	-1.30063800
2.79999998	-1.22837000
2.83999998	-1.13809600
2.87999998	-1.02969500
2.91999998	-0.92129280
2.95999998	-0.81289100
2.99999998	-0.68642230
3.03999998	-0.56001470
3.07999998	-0.43354590
3.11999998	-0.28901030
3.15999998	-0.14447460
3.19999998	0.00000000
3.23999998	0.14447460
3.27999998	0.27094330
3.31999998	0.41547900
3.35999998	0.56001470
3.39999998	0.66835530
3.43999998	0.79482410
3.47999998	0.90322580
3.51999998	1.01162800
3.55999998	1.12002900
3.59999998	1.21030300
3.63999998	1.28257100
3.67999998	1.33677200
3.71999998	1.40904000
3.75999998	1.44517400
3.79999998	1.46324100
3.83999998	1.48130700
3.87999998	1.48130700
3.91999998	1.46324100
